country,survey_year,welfare_type,gini__PIP,gini__PIP_consinc,gini__PIP_top1only,gini__PIP_topadj,top10_share__PIP,top10_share__PIP_consinc,top10_share__PIP_top1only,top10_share__PIP_topadj,top1_share__PIP,top1_share__PIP_consinc,top1_share__PIP_top1only,top1_share__PIP_topadj,top1_adjusted
Togo,2021,consumption,0.38899,0.503244,0.46087,0.558204,30.4712,38.729,38.6488,45.5894,6.90244,10.1446,13.9486,13.9486,True
Tonga,2021,consumption,0.27071,0.391961,0.370535,0.47212,22.0014,29.0678,32.709,38.4694,3.71326,5.7644,15.3733,15.3733,True
Tunisia,2021,consumption,0.335661,0.456102,0.461643,0.555996,26.8322,34.9562,40.8547,47.1188,6.85767,10.2891,20.8685,20.8685,True
Turkey,2022,income,0.444058,0.444058,0.551946,0.551946,35.1731,35.1731,47.9769,47.9769,10.0132,10.0132,21.8293,21.8293,True
Uganda,2019,consumption,0.426398,0.542685,0.531217,0.622617,34.4293,43.4197,46.5658,53.5892,10.2878,14.7687,20.6075,20.6075,True
Ukraine,2020,consumption,0.256033,0.381483,0.305247,0.419166,21.7545,28.9403,26.8798,33.2326,3.84534,5.99707,8.27486,8.27486,True
United Arab Emirates,2018,income,0.263926,0.263926,0.368663,0.368663,20.4798,20.4798,31.8778,31.8778,2.97959,2.97959,15.8893,15.8893,True
United Kingdom,2021,income,0.321225,0.321225,0.369215,0.369215,24.7251,24.7251,30.0306,30.0306,4.50429,4.50429,8.97411,8.97411,True
United States,2022,income,0.413178,0.413178,0.483849,0.483849,30.5078,30.5078,38.9386,38.9386,6.57278,6.57278,14.3501,14.3501,True
Uruguay,2022,income,0.405107,0.405107,0.468653,0.468653,30.4798,30.4798,37.9142,37.9142,6.37595,6.37595,12.9557,12.9557,True
Uzbekistan,2022,income,0.311733,0.311733,0.406904,0.406904,23.2183,23.2183,33.8671,33.8671,3.39545,3.39545,15.6626,15.6626,True
Vanuatu,2019,consumption,0.324114,0.438685,0.410425,0.507223,24.8143,32.2586,34.464,40.6193,4.86584,7.37904,14.6588,14.6588,True
Vietnam,2022,consumption,0.358459,0.473545,0.439363,0.53661,27.8859,35.9561,37.0581,43.7762,6.81083,10.132,14.6465,14.6465,True
Zambia,2022,consumption,0.514547,0.608474,0.583646,0.660666,39.1174,47.4163,47.8757,54.6608,9.4415,13.1693,17.1717,17.1717,True
Zimbabwe,2019,consumption,0.503147,0.608126,0.590192,0.672983,40.7377,49.6913,51.2938,58.3532,11.1836,15.5485,20.3386,20.3386,True
